num,comment
-0.764546,动不动就几个亿，而我还在为#待产包 发愁，每天熬夜做功课就为了省几十#孕期囤货 可以参考我的，没有一个踩坑，全部用上了#虎宝宝 期待你的到来 #一个身体两个心跳
-0.717433,计划先行，事后补救措施堵漏洞！#毓婷#关爱女性#女性健康小知识  #女性健康 
-0.736212,警惕美国分化中国人！崔天凯剖析中美关系，中美仍存不可调和矛盾（上） #中美外交 #台湾 #中国驻美国大使
-0.822815,小吉偷拿小亮家钥匙去他家偷狗，为避免怀疑伪造现场，这人可真损 #农村 #生活 #哈士奇 #萌宠 #小偷 #小狗
-0.806751,近十年最大IPO 中国移动登陆A股！网友：谨防电信诈骗？#财经 #投资 #股票 #中国移动
-0.712039,#养孩就是费钱又费妈 花钱的速度永远赶不上挣钱的速度，一不小心连快乐都养不起了…
-0.604387,一个百试百灵的小套路#恋爱日常 #水瓶金牛 #蒙眼亲亲
-0.77458,肤浅幼稚的女人啊.......#结尾亮了#反转 #搞笑视频
-0.758735,盘点那些海选爆笑名场面，各种奇葩选手欢聚一堂，评委看了太尴尬 #搞笑 #盘点
-0.827482,婴幼儿DHA红黑榜#dha #宝宝dha 你家吃对了吗？
-0.730645,#小敏家家庭修罗场好刺激家骏兼职被骗，欲放弃考清华#电视剧小敏家 #周迅 #周翊然  
-0.78067,#飞虎之壮志英雄 越是冷漠的人越是最先动情#黄宗泽 #陈滢 #飞虎3是真人吃鸡现场吧 #黄宗泽拍飞虎拍到脱水
-0.603803,故事：小孩用尿不湿钓鱼，不料气得龙王直跺脚，鱼不是这样钓的！ #故事 #一定要看到最后 #反转 #剧情
-0.8191,自我怀疑、自我厌恶的人，永远没办法快乐 #动漫  #动漫解说  #马男波杰克 
-0.796213,想不到吧！这么便宜又好用的奶霜也被假货盯上了！来吧！几招教你辨别！#国货发光#郁美净#真假辨别
-0.654171,#愿天下父母健康长寿 ，小孩不听话不肯走路可以揍他，这老小孩拿他一点办法没有……
-0.78067,昨天越来越少，明天越来越少，人生就是一次减法，来日并不方长，把每一个今天过好，让它成为最好的昨天，#努力工作的女人很美 #什么都明白的人最温柔也最冷漠 #适合自己的才是最好的
-0.813379,狮子掏肛被卡住活活憋死，让人极度无语的死法！ #野生动物 #狮子 #奇妙的动物 #动物世界 #敬畏自然
-0.680235,PP又双叒上新，这些超溢价爆款腕表为啥NB，花式吐槽&深刻剖析 #dou上热门 #dou出新知 
-0.659758,第134集l一支皇室专用的纯金剃须刀居然被不孝后人拿到了当铺 #鉴宝  #典当  #纪录片解说  #剃须刀 
-0.79542,张捷教授两天遭遇三件事：私信劝退，丢了工作，被人监控。 法治社会，无法无天，天道有轮回，苍天饶过谁。 #律师 #张捷 #司马南 #联想 
-0.815976,要装嵌入式冰箱的小伙伴注意了，这才是真正的嵌入式！分享给大家避免踩坑#装修日记 #装修避坑 #厨房 #冰箱
-0.637514,没完没了了是吧！！！
-0.827482,2021年度牙膏红黑榜！超市爆款还买不买？#牙膏#发现新势力品牌
-0.822064,他们家是最近发现的一家超级#宝藏 的#温泉 沐浴着冬日的阳光简直不要太舒服#昆明 #周末去哪玩
-0.694642,李靓蕾为陈建州范玮琪发声：跟王先生没有不正当的关系
