num,comment
0.653023,酸汤肥牛做法，做法超简单，太香了！#酸汤肥牛 
0.700937,衢州人的酱粿做法，一般早餐吃这个都会配稀饭或者豆浆，很好吃哦#家乡小吃 #民间传统美食
0.719196,用前两天炸藕盒剩的藕和肉馅做了藕丸子，咸香脆爽，配上大米饭绝啦#下饭菜 #好吃到爆
0.717826,这样做的#红烧排骨 ，软烂入味，超级好吃，做法还简单！#美食趣胃计划 #家常菜 
0.614977,柠檬鸡爪这么做，酸辣爽口特别开胃，一吃就停不下来！#网红鸡爪 
0.60089,放三天也不会变硬的驴打滚，糯叽叽，软糯香甜也太好吃了！#驴打滚
0.68493,蜜汁山药#在家做美食 #美食推荐 
0.637526,爆炒猪肝：想做的鲜嫩爽滑，不腥不腻，一定这样做才好吃。#爆炒酱#美食#家常菜
0.763384,很多亲让我分享一个不放辣椒的牛肉，今天的牛腩炖土豆没放一点辣椒，老公和儿子都说非常好吃，连汤汁都能泡几碗饭。#牛肉炖土豆 #家常菜
0.718183,虽然老表输了游戏，但是烧椒酱拌饭也很好吃##冬季暖胃美食 #抖音美食创作人 #一起吃饭吧
0.642959,#石头饼 一口一个咔咔脆的石头饼，追剧解馋吃太过瘾了推荐藤椒味的#零食推荐 #追剧小零食 #饼干
0.676735,在家做爆米花，只需3分钟即可，香味浓郁、口感酥脆比外面买的还好吃。 #爆米花 #好吃到爆
0.640022,快乐是什么？快乐就是和小伙伴一起干掉一张桌子一样大的披萨@抖音小助手 @DOU+小助手 #美食探店 #吉林市必吃榜 #抖音美食推荐官
0.665662,没有想到在贵阳一个很小的店里吃到了这么好吃的炸鸡?和部队锅！#美食vlog #好吃到爆
0.717152,天河车陂经济实惠的牛肉自助餐你吃过吗？#广东美好推荐官 #自助餐 #牛肉
0.837154,螺蛳粉还是柳州的正宗，良心推荐，拍一发9包，太划算了#速食美食 #螺蛳粉 #嗦粉 #最爱螺蛳粉 #柳州螺蛳粉 
0.776189,#开花大饼#美食推荐 #面食 #健康美食自己做 #面食分享 开花大饼的做法，蓬松宣软奶香味浓郁，比面包都好吃。
